Column1,Column2,Column3,Column4
코드,페이지,텍스트,영어
T1,기념일 화면,기념일,Anniversary
T2,기념일 화면,캘린더,Calendar
T3,기념일 화면,기념일 추가,Add Anniversary
T4,기념일 화면,전체,All
T5,기념일 화면,기념일,Anniversary
T6,기념일 화면,생일,Birthday
T7,기념일 화면,데이트,
T8,기념일 화면,중요한 날,
T9,기념일 화면,지난 날,
T10,기념일 화면,등록된 기념일이 없어요,
T11,기념일 화면,하단 + 버튼으로 직접 추가하거나 프로필 데이터를 입력해 자동 기념일을 확인해보세요.,
T12,기념일 화면,삭제,
T13,기념일 화면,기념일 삭제,
T14,기념일 화면,정말 삭제하시겠습니까?,
T15,기념일 화면,취소,
T16,기념일 추가/수정 다이얼로그,기념일 수정,
T17,기념일 추가/수정 다이얼로그,기념일 추가,
T18,기념일 추가/수정 다이얼로그,기념일 이름,
T19,기념일 추가/수정 다이얼로그,아이콘,
T20,기념일 추가/수정 다이얼로그,만나는날,
T21,기념일 추가/수정 다이얼로그,시간설정,
T22,기념일 추가/수정 다이얼로그,끝나는날,
T23,기념일 추가/수정 다이얼로그,시간 선택,
T24,기념일 추가/수정 다이얼로그,시작 날짜를 선택해주세요.,
T25,기념일 추가/수정 다이얼로그,카테고리,
T26,기념일 추가/수정 다이얼로그,색상,
T27,기념일 추가/수정 다이얼로그,메모 (선택),
T28,기념일 추가/수정 다이얼로그,저장,
T29,기념일 추가/수정 다이얼로그,날짜 선택,
T30,프로필 화면,이름을 입력해주세요,
T31,프로필 화면,별명 미입력,
T32,프로필 화면,사귀기 시작한 날,
T33,프로필 화면,생일,
T34,프로필 화면,연락처,
T35,프로필 화면,MBTI,
T36,프로필 화면,좋아하는 것,
T37,프로필 화면,취미,
T38,프로필 화면,현재 기분,
T39,프로필 화면,연인에게 한 줄 메모,
T40,프로필 화면,미입력,
T41,프로필 화면,메모를 입력해주세요,
T42,프로필 화면,편집하기,
T43,프로필 화면,프로필 사진,
T44,프로필 화면,기본 프로필 사진,
T45,프로필 화면,사진 변경,
T46,프로필 편집 다이얼로그,프로필 편집,
T47,프로필 편집 다이얼로그,닫기,
T48,프로필 편집 다이얼로그,이름,
T49,프로필 편집 다이얼로그,이름을 입력하세요,
